Time           Event Type     Request ID     Core ID   Service Time   Remaining Time 
0              Arrival        1              1         160.803        160.803        
0              Arrival        2              2         160.161        160.161        
0              Arrival        3              3         160.409        160.409        
0              Arrival        4              0         160.92         160.92         
90             Arrival        5              1         160.374        160.374        
90             Arrival        6              2         157.91         157.91         
90             Arrival        7              3         160.697        160.697        
90             Arrival        8              0         161.202        161.202        
90             Arrival        9              1         160.197        160.197        
90             Arrival        10             2         160.912        160.912        
90             Arrival        11             3         158.267        158.267        
90             Arrival        12             0         159.999        159.999        
90             Arrival        13             1         160.072        160.072        
90             Arrival        14             2         159.639        159.639        
90             Arrival        15             3         160.335        160.335        
90             Arrival        16             0         159.947        159.947        
90             Arrival        17             1         161.159        161.159        
90             Arrival        18             2         160.68         160.68         
90             Arrival        19             3         159.779        159.779        
90             Arrival        20             0         160.925        160.925        
90             Arrival        21             1         158.984        158.984        
90             Arrival        22             2         161.417        161.417        
90             Arrival        23             3         160.431        160.431        
90             Arrival        24             0         159.469        159.469        
90             Arrival        25             1         160.114        160.114        
90             Arrival        26             2         160.644        160.644        
90             Arrival        27             3         158.607        158.607        
90             Arrival        28             0         158.622        158.622        
90             Arrival        29             1         160.598        160.598        
90             Arrival        30             2         159.501        159.501        
90             Arrival        31             3         159.381        159.381        
90             Arrival        32             0         160.728        160.728        
90             Arrival        33             1         159.912        159.912        
90             Arrival        34             2         160.261        160.261        
90             Arrival        35             3         158.949        158.949        
90             Arrival        36             0         159.625        159.625        
90             Arrival        37             1         159.485        159.485        
90             Arrival        38             2         160.236        160.236        
90             Arrival        39             3         161.072        161.072        
90             Arrival        40             0         160.249        160.249        
90             Arrival        41             1         158.44         158.44         
90             Arrival        42             2         160.062        160.062        
90             Arrival        43             3         159.169        159.169        
90             Arrival        44             0         159.865        159.865        
90             Arrival        45             1         159.321        159.321        
90             Arrival        46             2         160.42         160.42         
90             Arrival        47             3         160.784        160.784        
90             Arrival        48             0         160.817        160.817        
90             Arrival        49             1         158.831        158.831        
90             Arrival        50             2         159.136        159.136        
90             Arrival        51             3         160.768        160.768        
90             Arrival        52             0         159.543        159.543        
90             Arrival        53             1         161.437        161.437        
90             Arrival        54             2         159.885        159.885        
90             Arrival        55             3         159.416        159.416        
90             Arrival        56             0         162.778        162.778        
90             Arrival        57             1         160.172        160.172        
90             Arrival        58             2         160.695        160.695        
90             Arrival        59             3         160.427        160.427        
90             Arrival        60             0         160.71         160.71         
90             Arrival        61             1         158.805        158.805        
90             Arrival        62             2         160.719        160.719        
90             Arrival        63             3         159.775        159.775        
90             Arrival        64             0         159.162        159.162        
90             Arrival        65             1         158.95         158.95         
90             Arrival        66             2         160.728        160.728        
90             Arrival        67             3         158.902        158.902        
90             Arrival        68             0         159.36         159.36         
90             Arrival        69             1         160.34         160.34         
90             Arrival        70             2         160.383        160.383        
90             Arrival        71             3         159.948        159.948        
90             Arrival        72             0         159.099        159.099        
90             Arrival        73             1         159.328        159.328        
90             Arrival        74             2         160.282        160.282        
90             Arrival        75             3         159.161        159.161        
90             Arrival        76             0         158.899        158.899        
90             Arrival        77             1         160.608        160.608        
90             Arrival        78             2         159.817        159.817        
90             Arrival        79             3         158.442        158.442        
90             Arrival        80             0         159.956        159.956        
90             Arrival        81             1         160.459        160.459        
90             Arrival        82             2         158.146        158.146        
90             Arrival        83             3         159.198        159.198        
90             Arrival        84             0         158.883        158.883        
90             Arrival        85             1         160.662        160.662        
